"distribution";"density_fun";"dist_density";"no_of_parameters";"default_location";"default_scale";"default_skewness";"default_kurtosis";"default_binomial_denominator";"discrete_flag";"dist_type";"location_lower_condition";"location_upper_condition";"scale_lower_condition";"scale_upper_condition";"skewness_lower_condition";"skewness_upper_condition";"kurtosis_lower_condition";"kurtosis_upper_condition";"x_lower_condition";"x_upper_condition";"fun_call";"location_lower_bound";"location_upper_bound";"scale_lower_bound";"scale_upper_bound";"skewness_lower_bound";"skewness_upper_bound";"kurtosis_lower_bound";"kurtosis_upper_bound";"x_lower_bound";"x_upper_bound"
"Negative Binomial family";"dNBF";"Negative Binomial family - dNBF";3;1;1;2;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;"dPO";1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Negative Binomial type I";"dNBI";"Negative Binomial type I - dNBI";2;1;1;NA;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;"dPO";1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Negative Binomial type II";"dNBII";"Negative Binomial type II - dNBII";2;1;1;NA;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;NA;NA;NA;NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Normal Exponential t";"dNET";"Normal Exponential t - dNET";4;0;1;1.5;2;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;"tau<nu";NA;NA;NA;NA;NA;NA;1e-10;NA;1e-10;NA;"Skewness";NA;NA;NA
"Normal (mean, sd)";"dNO";"Normal (mean, sd) - dNO";2;0;1;NA;NA;NA;0;"continuous";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Normal (mean, var)";"dNO2";"Normal (mean, var) - dNO2";2;0;1;NA;NA;NA;0;"continuous";NA;NA;"<=0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Normal Family";"dNOF";"Normal Family - dNOF";3;0;1;0;NA;NA;0;"continuous";NA;NA;"<=0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Pareto type 2";"dPARETO2";"Pareto type 2 - dPARETO2";2;1;0.5;NA;NA;NA;0;"continuous";"<0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;0;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Pareto type 2 original";"dPARETO2o";"Pareto type 2 original - dPARETO2o";2;1;0.5;NA;NA;NA;0;"continuous";"<0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;0;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Power Exponential";"dPE";"Power Exponential - dPE";3;0;1;2;NA;NA;0;"continuous";NA;NA;"<0";NA;"<0";NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA
"Power Exponential type 2";"dPE2";"Power Exponential type 2 - dPE2";3;0;1;2;NA;NA;0;"continuous";NA;NA;"<0";NA;"<0";NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA
"Poisson inverse Gaussian";"dPIG";"Poisson inverse Gaussian - dPIG";2;1;1;NA;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Poison";"dPO";"Poison - dPO";1;1;NA;NA;NA;NA;1;"discrete";"<=0";NA;NA;NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA;"0";NA
"Reverse Gumbel";"dRG";"Reverse Gumbel - dRG";2;0;1;NA;NA;NA;0;"continuous";NA;NA;"<=0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1e-10;NA;NA;NA;NA;NA;NA;NA
"Reverse generalized extreme";"dRGE";"Reverse generalized extreme - dRGE";3;1;0.1;1;NA;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;NA;NA;"mu-(sigma/nu)";NA;NA;NA;NA;1e-10;NA;1e-10;NA;NA;NA;"Location - (Scale / Skewness)";NA
